Client,Split,Algorithm,MAE,RMSE,NRMSE
1,0.1,FedAvg,0.0016056804908605893,0.04007094322399448,0.04007094322399448
2,0.1,FedAvg,0.0016929298253910905,0.04114522846444154,0.04114522846444154
3,0.1,FedAvg,0.0007260415129166028,0.02694515750402292,0.02694515750402292
1,0.5,FedAvg,0.0018395780968057038,0.04289030306264697,0.04289030306264697
2,0.5,FedAvg,0.0016696408690456785,0.0408612392010531,0.0408612392010531
3,0.5,FedAvg,0.0021702946331815286,0.04658642112441702,0.04658642112441702
1,1.0,FedAvg,0.0020635031870772044,0.045425798694983935,0.045425798694983935
2,1.0,FedAvg,0.001989660224094217,0.04460560754091594,0.04460560754091594
3,1.0,FedAvg,0.0019563196985464782,0.04423030294432176,0.04423030294432176
1,0.1,FedProx,0.04969345033168793,0.08734731700178466,0.13271803499626225
2,0.1,FedProx,0.030080508440732956,0.04197004893482429,0.14314928089168202
3,0.1,FedProx,0.054157380014657974,0.08932254268004455,0.2417358638522008
1,0.5,FedProx,0.08644964545965195,0.14782507569728676,0.2204657631041951
2,0.5,FedProx,0.04897504672408104,0.07552025920825077,0.12235585348860975
3,0.5,FedProx,0.05447644740343094,0.07551492539130489,0.15402123197073442
1,1.0,FedProx,0.04978165775537491,0.08296649128772222,0.12327408527228664
2,1.0,FedProx,0.025410901755094528,0.02863389320858087,0.29163846335884686
3,1.0,FedProx,0.034435488283634186,0.055450338679522836,0.1225796003569082
1,0.1,FedNova,0.11526004090427121,0.1774221990878836,0.17742219731366163
2,0.1,FedNova,0.11546603251249384,0.17838843896407333,0.2800845577570407
3,0.1,FedNova,0.11829003972633165,0.18287653797908268,0.18287653615031732
1,0.5,FedNova,0.11662410180967792,0.18043468796750217,0.18043468616315533
2,0.5,FedNova,0.11727025656649817,0.17990074971623984,0.17990074791723237
3,0.5,FedNova,0.11563602817517056,0.1780264963893639,0.17802649460909897
1,1.0,FedNova,0.11653800176153581,0.1797376857272983,0.19963772661555765
2,1.0,FedNova,0.13070970712933352,0.19505170975116068,0.2950826847646969
3,1.0,FedNova,0.11585083900106585,0.17858988257869285,0.17858988079279406
